scenario,arm,seed,source,package,gate,accepted,dJ
S1,F5EvAI,223,template,False,,False,0.0
S1,F5EvAI,223,template,False,,False,0.0
S1,F5EvAI,223,template,False,,False,0.0
S2,F5EvAI,223,template,False,,False,0.0
S2,F5EvAI,223,template,False,,True,-0.00203
S2,F5EvAI,223,template,False,,False,0.0
S2,F5EvAI,223,template,False,,False,0.0
S2,F5EvAI,223,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,224,template,False,,False,0.0
S3,F5EvAI,224,template,False,,False,0.0
S3,F5EvAI,224,template,True,,True,-0.00289
S3,F5EvAI,224,template,False,,False,0.0
S3,F5EvAI,224,template,False,,False,0.0
S5,F5EvAI,224,template,False,,False,0.0
S5,F5EvAI,224,template,False,,False,0.0
S5,F5EvAI,224,template,False,,True,-0.00052
S5,F5EvAI,224,template,False,,False,0.0
S4,F5EvAI,224,template,False,,False,0.0
S4,F5EvAI,224,template,False,,False,0.0
S4,F5EvAI,224,template,True,,True,-0.00329
S4,F5EvAI,224,template,False,,False,0.0
S4,F5EvAI,224,template,False,,False,0.0
S4,F5EvAI,224,template,True,G2 package (name empty or taken),False,0.0
S1,F5EvAI,224,template,False,,False,0.0
S1,F5EvAI,224,template,False,,False,0.0
S1,F5EvAI,224,template,True,,True,-0.03013
S1,F5EvAI,224,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,225,template,False,,False,0.0
S3,F5EvAI,225,template,False,,True,-0.00579
S3,F5EvAI,225,template,True,,True,-0.00256
S3,F5EvAI,225,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,225,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,225,template,True,G2 package (name empty or taken),False,0.0
S2,F5EvAI,224,template,False,,False,0.0
S2,F5EvAI,224,template,False,,False,0.0
S2,F5EvAI,224,template,False,,True,0.0139
S2,F5EvAI,224,template,False,,False,0.0
S2,F5EvAI,224,template,False,,False,0.0
S4,F5EvAI,225,template,False,,False,0.0
S4,F5EvAI,225,template,False,,True,-0.00372
S4,F5EvAI,225,template,True,,True,-0.01016
S4,F5EvAI,225,template,False,,True,-0.00025
S4,F5EvAI,225,template,False,,True,-0.00018
S4,F5EvAI,225,template,True,G2 package (name empty or taken),False,0.0
S4,F5EvAI,225,template,False,G2 duplicate cell,False,0.0
S4,F5EvAI,225,template,False,G2 duplicate cell,False,0.0
S1,F5EvAI,225,template,False,,False,0.0
S1,F5EvAI,225,template,False,,False,0.0
S1,F5EvAI,225,template,False,G2 duplicate cell,False,0.0
S5,F5EvAI,225,template,False,,False,0.0
S5,F5EvAI,225,template,False,,True,-0.01164
S5,F5EvAI,225,template,True,,True,-0.01001
S5,F5EvAI,225,template,False,,True,-0.00033
S5,F5EvAI,225,template,False,,True,-6e-05
S2,F5EvAI,225,template,False,,False,0.0
S2,F5EvAI,225,template,False,,True,-0.04134
S2,F5EvAI,225,template,False,G2 duplicate cell,False,0.0
S2,F5EvAI,225,template,False,G2 duplicate cell,False,0.0
S2,F5EvAI,225,template,False,,False,0.0
S1,F5EvAI,227,template,False,,False,0.0
S1,F5EvAI,227,template,False,,True,-0.03565
S1,F5EvAI,227,template,True,,True,-0.00266
S1,F5EvAI,227,template,False,G2 duplicate cell,False,0.0
S1,F5EvAI,227,template,False,G2 duplicate cell,False,0.0
S1,F5EvAI,227,template,True,G2 package (name empty or taken),False,0.0
S1,F5EvAI,226,template,False,,False,0.0
S1,F5EvAI,226,template,False,,True,-0.0077
S1,F5EvAI,226,template,False,,False,0.0
S1,F5EvAI,226,template,False,,True,-0.00013
S1,F5EvAI,226,template,False,,False,0.0
S1,F5EvAI,226,template,False,G2 duplicate cell,False,0.0
S1,F5EvAI,226,template,True,,False,0.0
S3,F5EvAI,226,template,False,,False,0.0
S3,F5EvAI,226,template,False,,False,0.0
S3,F5EvAI,226,template,True,,True,-0.00366
S3,F5EvAI,226,template,False,,True,-0.00107
S3,F5EvAI,226,template,False,G2 duplicate cell,False,0.0
S3,F5EvAI,226,template,True,G2 package (name empty or taken),False,0.0
S3,F5EvAI,226,template,False,,True,-0.00027
